,applicantId,creator,businessSize,businessName,isValid,patentId,patentNumber,productName,hasRepresentative,patentNature,hasPublication,hasExam,numExams,numReps,numPubs
0,00d0ce0b-dfeb-4531-87f6-a34210f0d110,"""Burt Curtis""",Small,"""Burt's Bees""",Valid,55a77995-81d7-4f03-823c-541a858fe16b,e2f407b5-b231-44e7-b292-b6b7157de679,"""Beeswax Lip Balm""",1,Structural,1,1.0,1.0,2.0,1.0
1,019b3271-1ab4-4b1d-9372-5ad4f3ef4daa,"""Nikolai Vermont""",Large,"""Karvey's Paint Stores""",Valid,36924e77-8ef9-4d1b-a6ab-ffa60d0070b3,d1478b42-bf0d-4d67-90b2-59ab18cbb7b5,"""Paint Markers""",1,Structural,1,1.0,1.0,1.0,1.0
2,07c4a975-ac78-4632-9c57-1572c323c124,Katya,Large,"""Boats inc""",Valid,df577588-cff2-48ff-845e-99374f80c53b,d9bfa9f3-a9b3-4bdd-bfbc-ae307832dc2d,Boat,1,Material,0,0.0,0.0,1.0,0.0
3,08204ca7-cc10-46bc-ba2a-59dc2b807a7d,"""Samantha Richardson""",Large,HydroFlask,Valid,07e5b6a6-1433-4fd1-b47e-4a3b7fa856af,71169873-954c-4000-8c75-c63b5eb55b58,"""Insulated Waterbottle""",1,Structural,0,1.0,1.0,1.0,0.0
4,0cb23c67-7f0a-4289-96d3-47ded5bbbe40,"""Ali Hussaid""",Medium,HeadForEars,Valid,e56172a8-5634-444a-bfdb-4b4ca6b71e84,f0031e65-1b6a-4ad7-a700-4de6b566e5b3,"""Transforming Earphones""",0,Material,0,1.0,1.0,0.0,0.0
5,0d0f42f5-d67d-4248-909d-0c0f6775e115,"""Henry Lima""",Large,"""Apple Inc. """,Valid,3ac06210-cfa5-4efb-b462-d1a491cefd70,153c9b44-b0d9-489e-8934-a4a524ff33d7,"""Laptop Microchip""",1,Structural,1,1.0,1.0,1.0,2.0
6,14946feb-1e0d-4cf6-812f-592e63ec9a3c,"""Max Sacher""",Large,"""Computer World""",Valid,6b5334bc-1d2c-48a8-bb27-c302f47ecdf2,6e70ad19-ca42-45bf-9ef6-6ec3c6d2958e,"""Walking Computers""",1,Material,1,1.0,1.0,0.0,1.0
7,16e909a8-2761-4885-8744-17fc8072f7ed,"""Ann Johnson""",Large,MedStar,Valid,0242723a-f0c5-4f2d-967a-3794978a0461,1fbc3ff3-3481-4f40-a05f-a8f2d708c772,Reflexa,1,Chemical,1,0.0,0.0,1.0,1.0
8,178ef032-5f6e-45b8-812a-ea65659b3aaf,"""Jessica Parker""",Large,"""The Medical Innovators Research Grou""",Valid,6ee1d8d9-e70f-4951-abaf-0626de120a88,944729da-cc2a-411f-8472-a869cb295d6c,Ibuprofen,1,Chemical,0,1.0,1.0,1.0,0.0
9,18732339-c20c-4b70-a995-4ff1b21d0383,"""Tobin O rourke""",Large,Nike,Invalid,7f4f3c11-5cf2-4484-bb38-e7a11fade6a4,d35540d5-e8b3-4655-9e16-9b471db49c7a,"""Running shoe""",0,Material,1,0.0,0.0,0.0,1.0
